bootstrap_sample,total_net_profit_model_minus_random,mean_equal_capital_roi_model_minus_random,total_equal_capital_net_profit_model_minus_random
635,232004.9025021526,4.6989464710334445,28084.266205714033
636,402931.4474112688,2.1142406884566913,38051.601615534084
637,419146.66475388635,3.8956016503644424,44164.23443820916
638,94430.28732612234,3.698358136541726,5810.850218871021
639,92647.65684150929,2.8657953332389674,6044.59202598899
640,484584.3461616981,2.1287630906074577,40083.54035786725
641,310765.8164777472,3.8471312031444365,30867.520223395746
642,302425.78562877164,1.7476464271755603,19319.812253569864
643,356816.9554383524,3.186241476639034,22094.225875397373
644,510967.7334008826,4.086005293468241,51061.684486161335
645,312970.16271850764,0.13285179741574638,32261.24913184256
646,-61663.757722082606,0.5821047106823514,2357.9967986939373
647,303405.56125641154,3.7368179269076576,28072.298057417785
648,505648.120941372,0.6038988461594634,34958.66139854748
649,296307.85061861033,3.6784951620173567,32135.915214166598
650,258312.4345039908,1.6268013203624632,25934.470442891565
651,432957.24908930133,3.113060446683088,49903.10150097086
652,98484.99630658585,3.6697204442957894,3620.849330006964
653,325544.12823095836,5.094037440166618,33430.31077369549
654,426085.5264078851,1.4977119658979232,41672.471179581786
655,259309.4370492498,2.2444390782149135,29690.64702995221
656,110864.05359905589,2.161275784896735,-5943.279569713039
657,178705.36830990447,-0.21969085244233355,5391.532333978899
658,-107560.8476254752,1.6297393640881452,-5530.016086519197
659,415126.63438458036,1.1520740712275712,39121.48202015775
660,317764.5956819928,4.14538088557954,30751.83928145365
661,204263.1746679012,2.5242817672556717,23822.41989921195
662,482828.27808674466,-1.8620261146722354,51012.23175689872
663,342787.2561197318,3.508147188915439,25400.144580120774
664,193693.28086089506,2.808892469753771,23717.350780775814
665,431814.6545967072,2.0505795443524546,42719.88517986846
666,205770.9569479271,3.587671473827258,27876.371568019764
667,102427.29623662088,3.7740032412806364,12344.831707368798
668,328909.24662308657,3.898467655774797,23940.028860820996
669,221345.11550074304,-0.972851263205702,9647.597042384648
670,447947.03966420284,2.800720856180004,44688.90507824837
671,294258.47115101037,3.3937623773539176,31656.24043780464
672,201220.17301056354,2.437321310119433,25696.036167096692
673,-85026.11548023194,3.28059378905132,4410.482684194667
674,348362.2145273576,0.006709316174020152,39395.61800913601
675,68526.6661784903,2.030349796341798,-5305.5889353633265
676,165952.57791918694,0.7452839574451042,20606.887189866928
677,324711.39375303173,1.104507173219134,40680.633517117814
678,236065.25699818946,1.541725544841169,19377.771171016026
679,503645.8954335705,0.9445207397878432,60897.093077516634
680,356357.9962768622,0.9225967564615738,43036.11365425456
681,466912.2787929361,2.376319620968661,49719.91626897639
682,7582.5331603791565,0.27223749398284536,16763.339545774023
683,141163.13838505684,2.0015824664714366,-2416.42316306011
684,296293.14584074356,4.411731069251983,36208.47642220655
685,262006.4186209771,1.575986231122167,21195.906333525614
686,315846.66516365035,2.8120427351627297,25982.571504342217
687,258010.5572950701,2.8780950305358393,31125.301836186813
688,52943.525115761644,5.088597944647042,8340.555356572297
689,213522.27133579343,4.028132890404496,1217.3288260616755
690,328290.1958589239,1.931473553037061,17736.10627747497
691,352805.98433133983,2.8380612242138747,19495.40639513996
692,115615.7151449309,2.216750682275392,6504.666402658138
693,84964.96475774629,4.749613930418043,2873.1797132973225
694,61001.38613571535,-0.9999089626798892,16263.0192919853
695,476089.7265942334,0.47088680953826056,41280.93148400832
696,35758.76312592506,4.671361606008506,9648.03726889109
697,76505.97216398866,4.107657175316316,3693.555813960662
698,338955.96019394323,0.42707334065345215,42230.18869810344
699,198838.98525926168,2.410685471438033,18183.82717223874
700,417963.44705078367,2.017655945291055,47144.94827035458
701,70592.2910873094,0.2458452144868959,690.4624373310253
702,245785.5557627863,2.923208503160755,21599.767656684486
703,667345.1326002434,0.464076170371845,50539.34637106508
704,294507.1466910089,-0.5722549002190469,34913.80220944676
705,454699.68498183455,1.1057712621737101,38591.64733516674
706,206535.89574663498,1.7651314707834977,24983.78209539535
707,161628.41565118337,2.552829808061116,-5909.948726488241
708,220088.9763753023,0.18288113652981597,16664.44269737322
709,277864.1060883774,-0.43777572025845046,19133.35071709822
710,164052.05423863448,1.644660783052367,25896.007941941472
711,99327.71255483973,0.15690913136515938,16557.373508883564
712,129357.92995121185,1.4379815666938285,-3621.152927519408
713,500429.55879813986,3.3969622053737583,43170.83044150243
714,324411.18306908663,3.873574136123594,21553.503324475954
715,277477.8981591714,2.300715496376852,29934.422373328824
716,-89661.01198157459,0.4532391812429042,-12886.851851560048
717,652216.326963976,2.5482886593566123,61600.593139105236
718,283270.66152474156,4.114864371893275,28737.179471463067
719,390447.24711678014,3.2121166943891946,49258.18403212071
720,-40912.171832261374,2.8474539830955896,4094.682287746624
721,29787.259830031282,1.292118133194287,-973.708855922192
722,103128.02069982613,3.547123101909712,7571.5325783623175
723,127708.09600982974,2.262293779114253,6591.125981862144
724,130745.1767285167,2.5375446403330457,734.5321468866241
725,222179.37084110838,4.280967217162579,31035.587568417584
726,139328.45818232268,1.8952324961106752,20089.14261493258
727,191133.12165852817,2.0784077363711955,22939.900922666675
728,83987.93604577795,2.0930468084174123,-4043.1889726388363
729,40120.884063312435,4.093429579469135,3913.9319430772375
730,506936.33222052467,3.923895333495235,48997.14794392882
731,365477.07817922265,1.0202905349208908,41319.81315054241
732,442188.8783797965,1.8914353151619414,44357.75023904319
733,145427.30564799072,5.976105007833487,18791.804914654527
734,527340.2650681466,2.067098268385543,37568.85086901816
735,415382.5085599982,4.221591625051279,51345.432773125285
736,187038.93596673344,0.6900018414732525,18163.707080450382
737,50374.83271817581,1.988672464042148,4469.082001686065
738,157617.4445441707,2.2046495556359575,-8508.768206745652
739,258628.95211191446,2.440082686231156,32038.111907264196
740,199044.82621384587,2.417166137520277,23072.78098067244
741,45889.552351411316,4.653457235085646,7615.352144199638
742,522332.29141587496,1.1012802581079342,31213.854801700116
743,371051.20594334323,1.4813177628761736,40939.90590184831
744,117265.549086313,1.3924384698549686,-3707.6125067234134
745,429223.7588644312,1.2223890957731607,31536.811971972424
746,398839.8735305338,0.5020351180739109,41780.96116286682
747,323611.8693948986,2.671045419951649,25304.740949625637
748,149296.94596978815,4.085580583965486,6208.569560668373
749,363248.33561168425,4.443372552338191,29349.445586649817
750,173686.4497229613,1.3229234636063651,13983.171562764277
751,150100.4094452986,5.509454971282866,17514.614096867852
752,283207.02634799364,2.8535830748313833,30981.83637361551
753,206984.88818727763,0.2529361890731323,16894.367739148525
754,437972.06631819974,1.5367743966545424,36869.9769503521
755,150483.76471008954,2.799743037865856,901.8616941444034
756,196255.86047936202,0.20161261718673273,16690.917026562667
757,355712.1435619779,-0.6211532803554043,30947.01226112266
758,58707.33191574126,2.8693002517187667,2155.216049943516
759,-32810.90475689329,0.4297438437739789,-5345.581549094888
760,74529.23675207738,4.328247018704009,9497.043564675287
761,-20661.26201296429,-0.8272962022938257,-9810.176426903117
762,571951.8493912043,0.4438880262771354,57966.86741249835
763,325165.52050254366,4.038387338009484,30586.94425771223
764,-191033.26152811554,1.6247985000578922,-5694.091158376144
765,54301.473104903125,3.824050222929232,12678.14174487883
766,-53671.21769377787,-0.6396053104887267,-12048.665430658008
767,251514.68395160846,3.476076081615287,22647.18165697117
768,253658.14618628126,1.3995294444412059,12496.292795094083
769,274411.44073479564,0.5834706551509043,12744.221452126185
770,194541.3574920041,1.1335053711988001,25140.83296601577
771,291414.4734844045,5.029517158839331,30902.715432729732
772,441220.9089301216,1.6302155198730217,39885.31449090103
773,25381.401019193116,2.2468681044047516,9549.216839013126
774,337349.3366648033,5.657638339944228,34635.04053815479
775,63129.346273369854,1.219385271905229,679.5312828459901
776,312803.66350631265,2.7250822780264903,27856.187772226975
777,277934.8458422008,3.8844109883612514,26460.57077911969
778,261496.5472629448,1.165146854285008,18281.802130459044
779,307577.57090962474,2.5302255185205267,14528.060430723497
780,118553.09376026725,3.526962674281169,22933.407756006105
781,117239.61999579094,1.06327192401044,20277.402668101247
782,125951.8322917039,-0.9930394073004116,17075.118083817906
783,144741.11515192766,0.6020470821469273,22236.72811437505
784,481760.48888411873,3.0268809778825108,49051.02976555093
785,127708.09600982975,2.262293779114252,6591.125981862144
786,-14021.621896669501,2.0248303332213187,-183.97151853773903
787,25094.22858813923,2.7649259073435015,10667.487024268416
788,472462.82813661883,3.7073085273568185,46448.20519591336
789,326877.9522888748,3.6959090492563815,25497.26050772644
790,312058.7752932762,3.4017656549060664,25449.887850070383
791,234024.98318158922,2.6195684603398552,28545.84229597648
792,34187.345669151255,2.346690602375027,7838.742502235706
793,79587.5021701078,1.8235764222461581,1930.3959957185252
794,293327.89406281564,-0.009684886847729501,38663.05273140253
795,169898.55985258712,1.912646383349701,13450.487908492429
796,9984.694449137634,1.437974211687254,6073.616217635998
797,143134.49162278764,5.832612081437703,14641.579954426401
798,449110.8928269715,0.036295189211647205,38666.73692415746
799,232004.90250215254,4.698946471033446,28084.266205714026
800,214305.5901672886,2.623234484047199,18427.750739890667
801,-94348.03239038726,0.36368419339429625,-793.5427357840672
802,155367.07095757948,1.7282179952958536,27190.70840079013
803,314061.03653190396,3.247906298860949,24608.915364246444
804,502902.0533134063,3.7664627332890213,50652.865894767994
805,169631.7407424978,1.3515611558523029,16173.172451628332
806,24407.706274039694,1.4384826943333593,1538.5028208558979
807,229289.742875084,3.8766213871516233,25879.495098624106
808,236666.47386042585,2.8255147247014367,23316.06816039663
809,22654.870581072697,4.005960639686792,10322.661607742084
810,49527.47021476325,-0.3745491576867135,13653.26865724285
811,246179.7662482648,3.8824014997110687,33310.19773750055
812,132210.5556948913,-0.6883417925986244,3704.9387002676085
813,197700.36649945733,2.5691861234192537,-6124.498688670097
814,-566.3838782701641,1.0286630017134737,-8746.821366384294
815,218147.7380568543,-0.9597093616680512,16149.712351358376
816,154546.38755035115,6.073798786292806,17075.504410942387
817,463343.7462342583,3.6096147488975014,48164.5056996255
818,2160.1465598501964,-0.7304295335685662,-9520.266135113256
819,110884.2454486861,4.686527308715734,14504.541501700744
820,62402.74018027118,1.4063400836076214,3237.877908037317
821,77654.49760148616,-0.9732882424262197,9730.372428833725
822,363427.96440420183,2.7432505830509486,41574.49622136148
823,295980.00858834124,4.413859788762941,36214.30258914127
824,158838.23963177862,0.6723621066925167,14652.058066189726
825,97151.45738138747,0.10184138688402733,16550.447443778696
826,-167803.44124589628,-0.5070302530880424,-18288.160129669774
827,119627.78789686749,3.5690598641536573,8116.171302603258
828,-90692.55685485597,0.20092271030840614,-5737.3264996822
829,-33781.357780846825,1.7589558951612148,4690.862307218378
830,234542.10311948715,2.8718287359443173,28672.60207206479
831,300391.5926946579,4.006275432334951,29229.65516422102
832,10271.280982280208,1.2580588133646105,-46.107929782621795
833,1401.647083045391,-0.32450217603811904,13986.578694752876
834,547347.0962060805,3.553067274532946,47303.03008702971
835,156915.14488342137,4.056874113565012,8157.081405396857
836,32819.47616934567,0.7658747333365845,13215.057596407645
837,638038.8525853273,1.6253852684826677,58211.49312142998
838,261991.7138431104,2.309222138356793,25268.467541565566
839,506956.76229386986,3.737825041043083,48462.865005903936
840,417463.18628323416,0.9187490529522613,38482.88661126441
841,217507.84224134462,3.1222728351550684,20420.227903068233
842,-50691.811227372964,1.9392460750539202,-2205.5573936331857
843,148552.05775675166,4.762263960845062,3802.2696385117815
844,11965.750776310218,0.6937074579008966,-2107.582435412878
845,278796.1551908503,1.1858067486566997,38231.7677356722
846,313011.29259037913,0.7647123893248118,12735.991042646663
847,144741.11515192766,0.6020470821469273,22236.72811437505
848,208785.12386656803,0.726662898868959,28889.12821323413
849,231543.0349787726,1.6725943152719545,26202.097267903773
850,156264.54463216072,6.278486112322178,15524.098930971672
851,109243.83824628638,0.14738448372288726,16636.9070229827
852,456675.981399114,0.4359828227008018,36638.230831022236
853,102485.66213555782,1.7708766513909184,5622.1474261128715
854,287519.67902075464,2.6859256359481933,27945.12516350198
855,444789.4414887993,0.3969203919441835,41440.72506025193
856,466733.6999477965,3.1544409489022875,45400.79119562667
857,740770.2666241238,-0.43142994346592456,76143.45088954865
858,62452.58555758861,3.6605242060996313,6489.405493024533
859,71170.67225225695,2.430146141031467,9854.502210396431
860,337735.54459400935,2.9191471233089255,23833.968881924186
861,33175.6383460254,2.462288751757203,8155.127123215014
862,318115.74551236746,3.219268606615013,22418.914475382393
863,434719.6304188182,0.9694293242821987,35861.77183337378
864,468630.4358747456,2.581006946998035,48168.51078900567
865,296351.58849206124,3.3016772173462607,27347.094845045125
866,411371.53745298565,3.8734113726261215,48746.61329286787
867,231042.57856805096,1.309143441798187,17095.336311737916
868,232273.64320287324,1.8371175006015132,15756.224775679566
869,352634.46329348267,2.0640515338911642,40053.381835922875
870,142983.48135878704,-1.0196838310263256,16821.938863265423
871,439296.91089372785,1.4190475277614079,36547.76616243806
872,247474.6797490118,2.771477866626597,20764.62133779528
873,-91043.7066852306,1.127034989272933,2595.5983063890526
874,204817.7386648254,1.5604441447541246,26535.18757536608
875,120531.63198028918,2.4173020991597003,-3515.0929486225978
876,205064.50718924333,3.267385998415707,29111.39242701118
